Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Твердохліб,Софія,Ігорівна,female,1977-12-01,Різноробочий,місто Старий Самбір,"вулиця Василя Стуса, буд. 6 кв. 5, Гайворон, 02061",+380 (66) 205-74-43,hryhoriiiashchuk@example.com
Супруненко,Захар,Євгенович,male,1955-01-19,Бібліограф,місто Глиняни,"узвіз Михайла Божія, буд. 9 кв. 088, Тульчин, 79507",+380 (15) 155-89-06,zynoviikanivets@example.org
Вахній,Левко,Євгенович,male,1953-04-21,Фізик,хутір Баштанка,"провулок Чигиринська, буд. 6, Пологи, 24261",052 883-56-00,anitariabets@example.org
Ісаєнко,Демид,Миколайович,male,1946-05-01,Швачка,селище Городенка,"набережна Обсерваторний, буд. 79, Баранівка, 27140",082 051 20 28,iaroslavafilipenko@example.org
Лазаренко,Дмитро,Ігоревич,male,2009-02-10,Геолог,село Довжанськ,"площа Соні Делоне, буд. 295, Камінь-Каширський, 15766",+380 (72) 494-24-35,tytarenkorozaliia@example.com
Атаманюк,Омелян,Артемович,male,1957-05-01,Конструктор,село Вилкове,"узвіз Астрономічна, буд. 11 кв. 16, Шпола, 24065",+380 05 040-10-35,liaremenko@example.org
Бабʼяк,Тереза,Анатоліївна,female,1952-10-03,Мірошник,хутір Рудки,"площа Климовича, буд. 80, Рені, 04166",809 61 80,dzyndravolodymyr@example.com
Вишняк,Варфоломій,Геннадійович,male,1948-10-29,Золотар,селище Залізне,"сквер Полтавська, буд. 4 кв. 474, Вижниця, 57500",738 84 93,bevzenkoalla@example.net
Чубай,Антон,Ульянович,male,1973-12-12,Провізор,хутір Болград,"шосе Преображенська, буд. 24, Монастириська, 86671",753 95 91,mykolaipoltavets@example.com
Овчаренко,Соломія,Сергіївна,female,1983-01-08,Пекар,хутір Берестечко,"сквер Місячний, буд. 75 кв. 622, Кадіївка, 14121",572-68-62,pylyp51@example.org
Швачка,Петро,Анатолійович,male,1949-04-28,Круп'є,хутір Тернівка,"узвіз Лазурний 2-й, буд. 103, Ходорів, 52040",+380 09 987-89-55,arsengerus@example.com
Єрошенко,Михайлина,Леонідівна,female,1980-02-21,Золотар,село Рудки,"площа Маланова, буд. 8 кв. 54, Новомиргород, 98886",+380 71 575-23-55,wkhrystenko@example.org
Оробець,Богдан,Федорович,male,1979-07-23,Секретар,селище Іллінці,"шосе Естонський, буд. 31, Сокологірськ, 55288",383 36 45,danylchukokhrim@example.com
Тимченко,Станіслав,Євгенович,male,1961-02-22,Патологоанатом,місто Макіївка,"парк Левкоєва, буд. 91, Новоселиця, 04002",078 681-42-49,lytvynenkovalerii@example.com
Ісаєвич,Пармен,Тарасович,male,2006-04-20,Підприємець,селище Городня,"площа Східчастий, буд. 81 кв. 3, Кременець, 10140",372 57 89,bakumenkoeduard@example.net
Дробаха,Богданна,Дмитрівна,female,1997-06-26,Золотар,селище Самбір,"площа Чумацька, буд. 295 кв. 13, Білопілля, 46659",511 03 45,zakharvashchenko-zakharchenko@example.net
Василашко,Августин,Борисович,male,1987-06-13,Археолог,село Іршава,"парк Андросовський, буд. 16, Калуш, 05590",937-12-22,lizastelmakh@example.net
Петрик,Віталій,Леонідович,male,1964-01-22,Круп'є,село Красноперекопськ,"провулок Вернидуба, буд. 2 кв. 3, Золотоноша, 09300",987 74 33,xverkhovynets@example.net
Кащенко,Едуард,Дмитрович,male,1988-05-05,Астронавт,селище Луганськ,"вулиця Балтиморська, буд. 34, Прилуки, 60874",937 49 85,venedyktdatsenko@example.com
Ємець,Яків,Васильович,male,1950-07-26,Адвокат,хутір Чортків,"проспект Кленова, буд. 62 кв. 02, Новояворівськ, 05764",128-60-87,deisunarsen@example.com
Ляшко,Єва,Миколаївна,female,1965-07-20,Дипломат,селище Лисичанськ,"набережна Конструкторський, буд. 7, Вуглегірськ, 97287",+380 43 112-58-34,darahanlevko@example.org
Стець,Миколай,Зіновійович,male,1958-03-12,Електрик,місто Могилів-Подільський,"шосе Десятого квітня, буд. 1, Сміла, 44740",030 941 20 32,xrubets@example.com
Гайдамака,Арсен,Тарасович,male,1961-10-28,Електрик,селище Кролевець,"площа Олександра Юрженка, буд. 550, Южноукраїнськ, 92733",087 089 88 88,vakarchukherman@example.net
Калениченко,Костянтин,Артемович,male,1957-06-18,Архітектор,місто Дніпрорудне,"проспект Пироговський, буд. 8 кв. 6, Львів, 23382",087 089-90-23,bohdannaartiushenko@example.com
Баштан,Віра,Геннадіївна,female,1996-06-17,Фармацевт,селище Вовчанськ,"парк Грузинська, буд. 75, Тернопіль, 88235",442-09-16,dmytrostus@example.org
Фесенко,Степан,Ярославович,male,1956-12-01,Сантехнік,село Ясинувата,"сквер Лінія 53-тя, буд. 9, Путивль, 85917",076 169 82 62,vasylyna98@example.net
Цушко,Аніта,Олександрівна,female,1997-03-22,Кур'єр,село Сторожинець,"узвіз Краснова, буд. 801 кв. 286, Хрестівка, 53302",082 017-10-87,malyshkonadiia@example.net
Юхименко,Гліб,Зіновійович,male,1994-06-15,Маркетолог,село Деражня,"парк Прохоровський, буд. 32 кв. 886, Зміїв, 70942",+380 71 291 78 33,mmoskal@example.net
Салій,Еріка,Володимирівна,female,1940-11-19,Економіст,село Чигирин,"сквер Весела, буд. 163 кв. 09, Одеса, 89556",+380 (72) 291-28-22,ldavymuka@example.org
Вдовиченко,Марко,Борисович,male,1952-08-12,Кушнір,село Торецьк,"набережна Абрикосова, буд. 4, Іллінці, 81739",+380 (44) 287-99-62,sgerega@example.net
Калениченко,Макар,Леонідович,male,1974-05-18,Локсмайстер,місто Баштанка,"набережна Лютеранський, буд. 164 кв. 280, Копичинці, 58992",092 082 13 77,stanislavmazepa@example.net
Іваненко,Степан,Зіновійович,male,1997-11-05,Редактор,селище Устилуг,"узвіз Степана Олійника узвіз, буд. 81, Скадовськ, 92744",+380 84 244-06-19,emiroshnychenko@example.net
Литвин,Омелян,Сергійович,male,1959-10-17,Хімік,хутір Підгородне,"шосе Амундсена, 3-й, буд. 90, Лисичанськ, 91958",484-88-51,demianchukzorian@example.net
Оліфіренко,Панас,Тарасович,male,1966-06-16,Живописець,село Миколаїв,"площа Зелений, буд. 112, Жмеринка, 60946",742-29-81,wdashenko@example.com
Непорожній,Василь,Сергійович,male,1969-01-09,Фотограф,місто Коростень,"узвіз Фруктовий, буд. 792 кв. 027, Кодима, 80658",821 14 69,avhustyn60@example.com
Скирда,Христина,Володимирівна,female,2002-06-15,Фотограф,селище Хирів,"узвіз Кавунова, буд. 58 кв. 326, Перечин, 24708",068 368-28-32,iereskovladyslav@example.net
Шило,Володимира,Геннадіївна,female,2001-03-03,Електротехнік,місто Балта,"узвіз Ольгіївський узвіз, буд. 1 кв. 79, Берислав, 14034",+380 36 355 85 07,bohuslavromanchuk@example.com
Самойленко,Ірина,Миколаївна,female,2005-07-31,Фізик,місто Вараш,"проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 099, Ходорів, 25895",+380 83 703-02-11,vitalii02@example.net
Алексійчук,Давид,Володимирович,male,1950-08-20,Кіноактор,село Суходільськ,"узвіз Ювілейний 2-й, буд. 45 кв. 682, Ківерці, 43871",+380 (24) 941-29-98,verkholaeduard@example.com
Цушко,Ірина,Артемівна,female,1948-12-22,Астроном,хутір Тульчин,"узвіз Естонська, буд. 4, Корець, 09644",070 989 43 24,hordii32@example.net
Ящук,Леон,Сергійович,male,1972-03-13,Графік,хутір Підгородне,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 22 кв. 83, Збараж, 88043",353 74 89,stanislavpavlychenko@example.net
Єрьоменко,Аліна,Анатоліївна,female,1967-04-04,Стропальник,хутір Іршава,"вулиця Рівний, буд. 18 кв. 30, Запоріжжя, 15037",653 11 02,babakliza@example.net
Вернигора,Богданна,Леонідівна,female,1979-09-20,Етнограф,хутір Долинська,"парк Листяний, буд. 36, Новояворівськ, 04048",+380 54 933 51 41,markosahal@example.com
Шаблій,Владислав,Петрович,male,1982-03-17,Бізнесмен,місто Шептицький,"шосе Училищна, буд. 537 кв. 85, Рожище, 99434",923-42-70,prokhirartiushenko@example.com
Цибуленко,Олег,Ульянович,male,1958-04-16,Нотаріус,селище Чорнобиль,"вулиця Степний 2-й, буд. 643 кв. 3, Миколаїв, 78852",+380 72 557-63-39,volodymyrisaienko@example.com
Запорожець,Кирило,Володимирович,male,1989-03-09,Мистецтвознавець,село Ходорів,"набережна Кобзаря, буд. 07 кв. 4, Почаїв, 59957",+380 24 668-38-47,ielyseibakumenko@example.org
Шморгун,Юхим,Сергійович,male,1976-12-20,Сантехнік,село Сніжне,"вулиця Аеродромний 3-й, буд. 92 кв. 492, Городок, 48549",078 718-50-55,alevtynbezditko@example.org
Міщенко,Олег,Тарасович,male,2009-07-21,Локсмайстер,село Ірпінь,"провулок Ольги Благовидової, буд. 19, Феодосія, 07785",+380 01 163-03-39,sahalprokhir@example.com
Рябець,Емілія,Дмитрівна,female,1993-09-09,Кушнір,село Моршин,"набережна Подільська, буд. 906, Зеленодольськ, 92534",+380 02 964-41-42,ievtushokzynovii@example.net
Яремко,Оксенія,Володимирівна,female,1988-03-13,Бібліограф,село Заводське,"сквер Аеропортівський 2-й, буд. 4 кв. 346, Герца, 57541",+380 39 306-46-87,karmaliukveniiamyn@example.net
Христич,Едуард,Русланович,male,1975-10-12,Антрополог,місто Феодосія,"сквер Хутірський, буд. 9, Золотоноша, 83441",+380 14 656-39-86,teodor28@example.com
Піддубна,Станіслав,Леонідович,male,1950-05-02,Мікробіолог,місто Ялта,"вулиця Глаубермана, буд. 869 кв. 70, Ічня, 13276",941 55 07,shapovalodarka@example.net
Франко,Віра,Петрівна,female,1960-11-12,Фотограф,хутір Синельникове,"парк Сирітський, буд. 27, Ворожба, 11219",835 54 88,liashkohanna@example.org
Зінченко,Давид,Артемович,male,1982-12-22,Паралегал,селище Кілія,"площа Розумовський 2-й, буд. 392 кв. 353, Залізне, 35997",+380 36 746 91 18,illiashyian@example.org
Шиян,Трохим,Олександрович,male,1956-02-12,Ювелір,село Іловайськ,"узвіз Обільна, буд. 23, Полонне, 96781",033 403 90 49,adam93@example.org
Луценко,Розалія,Тарасівна,female,1948-01-21,Швачка,місто Ровеньки,"площа Заможна, буд. 0, Гірник, 49150",+380 91 076 84 61,davydenkoamvrosii@example.org
Дерегус,Наталія,Василівна,female,1995-11-30,Диригент,місто Каховка,"проспект Лінія 30-та, буд. 98 кв. 604, Чернівці, 95996",027 699-24-39,wtiahnybok@example.net
Яременко,Варвара,Анатоліївна,female,1983-05-12,М'ясник,село Ірпінь,"набережна Розумовський 1-й, буд. 39 кв. 25, Христинівка, 52185",+380 (51) 916-18-88,kostiantyn12@example.net
Нестеренко,Леон,Борисович,male,1962-12-31,Епідеміолог,хутір Зміїв,"набережна Глаубермана, буд. 815 кв. 2, Старий Самбір, 76766",+380 04 541-42-69,demydenkozakhar@example.net
Михайличенко,Артем,Артемович,male,1984-03-12,Письменник,місто Попасна,"провулок Зернова, буд. 283, Новоазовськ, 83089",+380 (67) 862-09-59,leonid74@example.com
Андрусенко,Арсен,Ігоревич,male,1976-07-15,Зоолог,селище Корець,"шосе Новобазарний, буд. 2, Роздільна, 88349",+380 40 691-06-76,ibaran@example.org
Атаманюк,Данна,Русланівна,female,1957-05-27,Намотувальник,селище Свалява,"площа Степова, буд. 2, Південне, 45881",+380 68 538-33-68,ochubai@example.org
Дрозд,Марко,Зіновійович,male,1975-02-06,Кінорежисер,селище Зимогір'я,"площа Кременецький, буд. 41 кв. 9, Новоград-Волинський, 18163",153-89-48,albina68@example.org
Ярема,Марко,Артемович,male,1959-06-01,Агроном,хутір Василівка,"площа Мелодійний, буд. 473 кв. 83, Турка, 51419",+380 69 299-21-71,oartiukh@example.com
Юрчук,Євген,Володимирович,male,2002-07-14,Юрист,село Славута,"парк Квітки-Основ’яненка, буд. 96 кв. 659, Чорнобиль, 70445",+380 03 381 19 99,bdutka@example.net
Венгринович,Владислав,Сергійович,male,1978-12-30,Літературознавець,хутір Золотоноша,"парк Жоліо-Кюрі, буд. 043, Судак, 06849",+380 (73) 483-57-64,mykhailyna87@example.com
Даниленко,Остап,Олександрович,male,1946-04-26,Конструктор,місто Вашківці,"парк Військово-морських сил, буд. 57 кв. 902, Березне, 51901",089 060 59 37,fediriemets@example.com
Гаврюшенко,Миколай,Зіновійович,male,1964-01-21,Гірник,селище Черкаси,"вулиця Музична, буд. 49, Середина-Буда, 01601",+380 97 540-29-20,kvakhnii@example.com
Забарна,Оксенія,Ярославівна,female,1947-01-12,Ріелтор,село Балта,"площа Садовий, буд. 5 кв. 000, Білицьке, 81410",+380 (71) 025-63-93,ihnat09@example.net
Лисенко,Пріска,Ігорівна,female,1944-10-24,Гінеколог,місто Болехів,"площа Садовського, буд. 672 кв. 424, Тернівка, 73869",362-74-37,illiashmorhun@example.net
Сич,Аніта,Леонідівна,female,1954-10-10,Письменник,селище Старобільськ,"провулок Хімічний 1-й, буд. 0, Алмазна, 97738",+380 82 200 38 15,tymchenkoiaroslava@example.net
Оліфіренко,Соломія,Артемівна,female,1958-12-18,Фрілансер,село Красногорівка,"шосе Полтавська, буд. 764, Деражня, 48646",241-43-24,ieva11@example.com
Гаврилів,Оксенія,Федорівна,female,1944-09-12,Інженер,місто Світловодськ,"площа 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 47, Привілля, 26412",030 737 11 83,tymchenkovitalii@example.org
Лагода,Зиновій,Ігоревич,male,1962-12-17,Антрополог,хутір Кобеляки,"узвіз Миколи Плигуна, буд. 921 кв. 0, Білицьке, 38351",093 309 94 35,iustyna27@example.org
Єщенко,Марко,Ігоревич,male,2000-07-26,Композитор,село Носівка,"площа Танфільєва, буд. 35 кв. 8, Хрестівка, 62384",+380 (33) 660-89-47,davyd94@example.com
Саєнко,Ярослав,Леонідович,male,1991-06-28,Петрограф,місто Дубровиця,"парк Середньофонтанський, буд. 98 кв. 5, Горлівка, 57762",+380 63 391-94-58,dvatamaniuk@example.com
Петлюра,Гордій,Петрович,male,1957-12-08,Фермер,село Маріуполь,"вулиця Перший Кришталевий, буд. 120 кв. 0, Горішні Плавні, 50126",+380 31 987-36-37,lukiangoliash@example.com
Радченко,Дан,Зіновійович,male,1952-05-22,Геолог,місто Апостолове,"шосе Іспанський, буд. 903 кв. 9, Львів, 95561",+380 16 714-15-90,orest57@example.com
Кибкало,Аніта,Ігорівна,female,2000-01-26,Вчитель,місто Монастирище,"парк Севастопольський, буд. 911 кв. 8, Токмак, 11352",+380 (98) 249-14-70,danylo31@example.net
Комар,Єва,Ярославівна,female,1939-11-27,Клоун,місто Олешки,"вулиця Валіховський, буд. 9, Лутугине, 50801",635-16-10,liliia26@example.net
Гоголь,Йосип,Федорович,male,2006-02-28,Бібліограф,хутір Новоукраїнка,"парк Хотинський, буд. 243 кв. 809, Дубляни, 46519",+380 (10) 364-17-13,medvedenkoalbert@example.org
Баранник,Варфоломій,Анатолійович,male,1957-02-24,Мінералог,селище Одеса,"узвіз Тепла, буд. 806, Хрустальний, 79608",998 37 88,nhuk@example.org
Алексюк,Демʼян,Дмитрович,male,1976-02-26,Бібліограф,село Калинівка,"парк Курортний 6-й, буд. 71, Кремінна, 02248",+380 38 059 88 34,spasoberemko@example.com
Андрощук,Климент,Борисович,male,2009-10-19,Стоматолог,селище Кропивницький,"набережна Ігоря Іванова, буд. 53, Чортків, 23069",408-84-55,zlatoslava93@example.net
Ґоляш,Ярослава,Володимирівна,female,1965-08-23,Графік,селище Шумськ,"площа Старосінна, буд. 69 кв. 932, Андрушівка, 60226",+380 (53) 136-95-29,fedir25@example.com
Скоробогатько,Зорян,Ульянович,male,1944-04-19,Єгер,село Ржищів,"сквер Олександра Мурашка, буд. 920 кв. 7, Жидачів, 92863",084 157 97 15,chumakboleslav@example.net
Юрчук,Вікторія,Анатоліївна,female,1974-09-12,Бухгалтер,село Кадіївка,"проспект Чорноморський 13-й, буд. 79, Стрий, 68190",099 695 05 99,onufriienkodemyd@example.org
Юрчишина,Демʼян,Ульянович,male,1989-07-21,Візажист,хутір Валки,"узвіз Вишнева, буд. 089 кв. 374, Вугледар, 43500",883-11-12,veniiamyn88@example.net
Стець,Марко,Дмитрович,male,1969-02-01,Скульптор,село Христинівка,"сквер Мацієвської, буд. 0 кв. 1, Світлодарськ, 73945",+380 21 232-69-93,anastasiiakabaliuk@example.net
Бездітко,Богодар,Євгенович,male,1950-08-23,Бібліотекар,хутір Бердичів,"парк Батуринська, буд. 691, Старий Крим, 22304",+380 17 782 18 92,abaranyk@example.net
Запорожець,Мирослав,Дмитрович,male,1969-04-05,Реставратор,місто Бобринець,"проспект Бєлякова, буд. 473 кв. 775, Енергодар, 22365",+380 17 120 63 34,varvarakhmara@example.org
Сиротенко,Віталій,Зіновійович,male,1962-05-25,Соціолог,село Ківерці,"сквер Удільний, буд. 855, Білицьке, 49862",061 744-10-93,sychsviatoslav@example.org
Євдокименко,Володимира,Ярославівна,female,1952-02-25,Дантист,селище Збараж,"провулок Травневий 3-й, буд. 868, Кам'янка-Бузька, 67287",332 38 73,zcherednyk@example.net
Гавришкевич,Альбіна,Артемівна,female,1977-06-03,Мікробіолог,село Мостиська,"сквер Золотий берег, буд. 1, Жашків, 29607",+380 61 569-09-73,tkyrylenko@example.com
Скоробогатько,Демид,Зіновійович,male,2004-05-18,Золотар,село Родинське,"узвіз Компасний, буд. 90 кв. 29, Берегове, 60131",240-46-76,marta14@example.org
Дейнеко,Валерій,Геннадійович,male,1941-09-13,Гицель,село Павлоград,"вулиця Теплична, буд. 87, Сорокине, 80217",008 387 17 87,rebrykvladyslav@example.net
Мірошниченко,Пилип,Геннадійович,male,1972-05-03,Візажист,місто Подільськ,"проспект Нафтовиків 3-й, буд. 3, Генічеськ, 45216",+380 82 230 92 39,demyddeisun@example.org
Євтушок,Аарон,Володимирович,male,1942-12-10,Фармацевт,село Прилуки,"шосе Балтський 3-й, буд. 07 кв. 99, Київ, 11075",+380 01 436 76 02,gabramenko@example.com
Овчаренко,Валентин,Ярославович,male,2009-04-24,Промисловець,хутір Амвросіївка,"узвіз Діхтієвського Віктора, буд. 41, Красногорівка, 16459",571-77-99,ieva81@example.com
Ящук,Миколай,Борисович,male,1998-10-26,Підприємець,хутір Краматорськ,"шосе Перша, буд. 78, Миколаїв, 28652",+380 29 240-10-81,lvakarchuk@example.org
Акименко,Світлана,Зіновіївна,female,1977-03-08,Лікар,місто Ровеньки,"вулиця Лавкова, буд. 37 кв. 7, Златопіль, 17387",+380 27 067 77 87,priskanazarenko@example.org
Бебешко,Розалія,Сергіївна,female,1940-05-10,Продюсер,хутір Краматорськ,"узвіз Халайджогло, буд. 49 кв. 1, Баштанка, 49569",011 80 52,demydenkovioletta@example.org
Бандура,Богданна,Олександрівна,female,1985-11-18,Лікар,хутір Радомишль,"площа Ольги Благовидової, буд. 587, Моршин, 42765",+380 31 791 23 20,shtepadanylo@example.com
Яковенко,Гліб,Федорович,male,1977-07-02,Електрик,село Горохів,"проспект Хімічна, буд. 5 кв. 5, Покровськ, 68637",068 854-79-58,ksmyk@example.org
Ейбоженко,Єфрем,Сергійович,male,1956-02-15,Краєзнавець,хутір Ямпіль,"парк Степана Олійника узвіз, буд. 72, Біла Церква, 75187",+380 17 971-20-83,umakohon@example.com
Шевченко,Венедикт,Артемович,male,1980-04-03,Головний меркшейдер,місто Алчевськ,"набережна Ніни Строкатої, буд. 94, Жидачів, 98404",+380 03 306-78-34,mazepastefan@example.com
Лубенець,Тереза,Олександрівна,female,1963-08-24,Архітектор,село Південне,"парк Кримська, буд. 0 кв. 10, Андрушівка, 48978",038-27-34,klavdiiakarmaliuk@example.net
Жарко,Марія,Євгенівна,female,2004-09-10,Гицель,місто Жовква,"набережна Скліфосовського, буд. 178 кв. 01, Херсон, 58580",+380 60 898-07-82,demian68@example.net
Цимбалюк,Мирослав,Васильович,male,2000-10-24,Геолог,селище Новий Розділ,"площа Ясна, буд. 00, Харків, 61893",293-80-64,marko69@example.com
Корпанюк,Нестор,Зіновійович,male,1996-05-11,Лікар,селище Берестечко,"вулиця Астрономічний, буд. 084 кв. 1, Судак, 85709",029 347-17-35,pylyp20@example.com
Іщенко,Оксана,Ульянівна,female,1968-05-06,Футболіст,місто Ізмаїл,"площа Лінійний, буд. 6 кв. 8, Алмазна, 35120",253-69-45,amaliiazhaivoron@example.com
Яремчук,Любов,Миколаївна,female,1996-03-21,Детектив,місто Новогродівка,"сквер Поїзна, буд. 98, Дружківка, 34662",590 00 20,mariana11@example.com
Лупій,Марина,Леонідівна,female,1976-01-19,Доцент,місто Євпаторія,"площа Горизонтальна, буд. 16 кв. 960, Таврійськ, 81732",064 530 91 47,dakulenko@example.net
Дараган,Адам,Петрович,male,1987-08-23,Літературознавець,селище Стебник,"провулок Дачний 1-й, буд. 8 кв. 930, Косів, 60788",323-87-96,lukiantaran@example.org
Москаль,Анастасія,Тарасівна,female,2005-06-23,Патологоанатом,хутір Багачеве,"проспект Зелений, буд. 362, Погребище, 42073",+380 (43) 098-31-01,iustym78@example.com
Байрак,Олег,Тарасович,male,1972-08-01,Мовознавець,місто Тиврів,"набережна Олександра Ройтбурда, буд. 01, Помічна, 70542",135-77-76,viravasylenko@example.net
Тарасенко,Ліза,Ульянівна,female,2009-03-28,Геофізик,село Ямпіль,"сквер Отрадна, буд. 82 кв. 3, Нововолинськ, 01670",+380 51 706-06-94,zakusyloieva@example.org
Сиротенко,Ігор,Дмитрович,male,1993-06-16,Актор,хутір Сміла,"парк Юрія Асєєва, буд. 0, Южноукраїнськ, 87908",+380 15 420 66 00,arkadiiivanchenko@example.net
Саєнко,Любов,Василівна,female,1950-12-19,Медик,селище Чугуїв,"набережна Клинова, буд. 44, Подільськ, 77703",+380 89 757 52 00,azar81@example.net
Негода,Сергій,Дмитрович,male,1961-02-16,Кінорежисер,селище Перевальськ,"парк Крутоярська, буд. 77 кв. 0, Тетіїв, 28101",+380 32 759 87 14,plytvynenko@example.com
Ляшко,Оксана,Ярославівна,female,1969-04-12,Дизайнер,місто Остер,"шосе Пересипська 4-та, буд. 156 кв. 4, Гайворон, 18232",+380 83 827-98-00,sviatoslava73@example.net
Даниленко,Ігнат,Русланович,male,1965-07-23,Фольклорист,хутір Золоте,"проспект Газовий, буд. 017 кв. 6, Пирятин, 18658",150 08 68,albina88@example.org
Бабиченко,Варвара,Миколаївна,female,1958-11-03,Ветеринар,місто Іршава,"площа Олешківська, буд. 817, Павлоград, 06035",067 422-29-19,trokhymbevz@example.com
Лисенко,Борис,Борисович,male,1941-10-06,Дерун,селище Новоселиця,"сквер Кременецький, буд. 94, Козятин, 35396",+380 70 540 32 52,danyliukmyron@example.net
Гаврилець,Соломон,Геннадійович,male,2000-07-07,Палеонтолог,село Дружківка,"проспект Семінарська, буд. 346 кв. 677, Тальне, 29719",020 804-58-31,makar88@example.com
Терещенко,Орина,Василівна,female,1955-01-02,Письменник,хутір Дніпрорудне,"вулиця Парусна, буд. 5, Очаків, 57366",+380 15 647 09 24,kylymnyksvitlana@example.com
Наливайко,Аніта,Геннадіївна,female,1953-07-24,Сценарист,хутір Рогатин,"сквер Олександра Тимошенка, буд. 46 кв. 9, Синельникове, 51810",+380 94 222-86-48,zubkobohodar@example.net
Харченко,Віолетта,Русланівна,female,1952-07-30,Археолог,місто Заставна,"сквер Рівності 1-й, буд. 17 кв. 281, Зугрес, 69049",024 26 04,zaichenkopanas@example.net
Полтавець,Ліза,Євгенівна,female,1960-06-30,Актор,хутір Рахів,"провулок Гімназична, буд. 0, Бібрка, 42668",685-23-41,leonidvertyporokh@example.net
Юхименко,Григорій,Володимирович,male,1998-01-20,Сантехнік,село Болград,"шосе Матеріальний 1-й, буд. 8 кв. 44, Березівка, 01645",075 544 75 16,pustovitvarvara@example.net
Оліфіренко,Віолетта,Ярославівна,female,2005-05-11,Ботанік,місто Великі Мости,"парк Дальницьке, буд. 0, Рава-Руська, 60646",+380 (97) 440-54-79,ielysaveta41@example.net
Данчук,Алевтин,Євгенович,male,1961-09-18,Кур'єр,місто Рахів,"парк Морехідна, буд. 794 кв. 390, Тетіїв, 87044",027 506 98 30,pruban@example.net
Зубко,Руслан,Артемович,male,1986-10-17,Соціолог,місто Тисмениця,"вулиця Басейний 6-й, буд. 8 кв. 33, Іллінці, 59750",+380 60 927-00-24,levchenkoiustyna@example.org
Сомко,Семен,Дмитрович,male,1950-10-02,Паблік рилейшнз,хутір Куп'янськ,"узвіз Ватманський, буд. 786, Куп'янськ, 77751",+380 87 170 72 04,hennadiilysenko@example.com
Тарасенко,Оксенія,Русланівна,female,2008-05-20,Локсмайстер,місто Полонне,"узвіз Танфільєва, буд. 26 кв. 050, Добромиль, 51441",467 76 22,hukhordii@example.org
Непорожній,Микита,Федорович,male,1975-05-20,Льотчик,хутір Судова Вишня,"проспект Рибальський, буд. 1, Семенівка, 31439",047 661-89-41,evanchenko@example.net
Жук,Гліб,Сергійович,male,1972-10-21,Каскадер,хутір Старий Крим,"набережна Бузковий 1-й, буд. 075, Алчевськ, 21458",+380 57 980-60-02,androshchukhryhorii@example.net
Гуцуляк,Ярема,Сергійович,male,2003-04-24,Агроном,селище Балта,"вулиця Путьова, буд. 9, Ржищів, 02530",+380 43 766 31 34,zinchuksvitlana@example.net
Атаманюк,Еріка,Олександрівна,female,1985-01-12,Акушер,селище Бережани,"проспект Березова, буд. 0 кв. 3, Сватове, 61816",+380 57 026-78-90,kviter@example.org
Ґоляш,Одарка,Геннадіївна,female,1956-07-14,Кіноактор,хутір Немирів,"вулиця Амбулаторний, буд. 1, Зміїв, 87208",536-77-78,solomonpushkar@example.org
Абрагамовський,Єлисавета,Зіновіївна,female,2006-10-21,Антрополог,селище Олександрівськ,"узвіз Пересипська 2-га, буд. 2, Остер, 87618",087 441 63 70,wchaban@example.com
Лубенець,Михайло,Дмитрович,male,1988-04-24,Сценарист,місто Бершадь,"провулок Хлібна гавань, буд. 281 кв. 1, Херсон, 98714",084 054-13-99,viaremko@example.net
Скорик,Віолетта,Анатоліївна,female,2001-10-18,Мистецтвознавець,селище Бердянськ,"шосе Лінія 54-та, буд. 41, Ужгород, 48436",043 971 53 08,hryhoriiveres@example.org
Івасюк,Вікторія,Василівна,female,2008-09-03,Няня,село Хирів,"проспект Хаджибейська дорога, буд. 826, Обухів, 61976",+380 99 239-01-15,ihor11@example.com
Алексеєнко,Станіслав,Русланович,male,1986-07-29,Геофізик,місто Жовті Води,"набережна Бузковий, буд. 091 кв. 0, Бережани, 67134",+380 82 498-84-82,esuprunenko@example.com
Баклан,Аврелій,Ігоревич,male,2001-11-20,Провізор,хутір Нововолинськ,"сквер Магістральна, буд. 964, Бровари, 93687",058 195-50-14,liashkorostyslav@example.net
Іщенко,Марко,Борисович,male,1982-07-28,Палеонтолог,село Радивилів,"узвіз Туристська, буд. 750, Ковель, 95800",+380 34 493-87-14,leonidverkhovynets@example.net
Хоменко,Євген,Борисович,male,1970-05-29,Модель,хутір Вознесенськ,"провулок Лінія 52-га, буд. 6, Горохів, 47110",051 927-90-82,iosyp50@example.com
Примаченко,Лесь,Артемович,male,1980-11-20,Мистецтвознавець,хутір Павлоград,"сквер Новощіпний ряд, буд. 845, Ананьїв, 81355",099 39 86,eilienko@example.com
Матяш,Давид,Ульянович,male,1999-07-22,Актор,селище Боярка,"проспект Учительський, буд. 141, Решетилівка, 76823",059 430 59 51,wbandurka@example.net
Бездітко,Ярина,Русланівна,female,1945-09-25,Науковець,село Гірське,"сквер Іспанський, буд. 94, Апостолове, 90324",945 72 60,fursavhustyn@example.net
